"id","SehirIlceMahalleAdi","UstID","minlongitude","minlatitude","maxlongitude","maxlatitude","MahalleID"
29407,KAZIM KARABEKİR,1552,43.092231,40.750103,43.150344,40.796019,
29408,KEÇİLİ (KEÇİLİ),1552,42.960964,40.766859,43.042743,40.826042,
29409,KIRÇİÇEĞİ (KIRÇİÇEĞİ),1552,43.140949,40.766565,43.201973,40.829024,
29410,KİZİROĞLU (KİZİROĞLU),1552,42.981326,40.871491,43.121428,40.957826,
29411,KÜÇÜKÇATAK (KÜÇÜKÇATAK),1552,42.979774,40.819860,43.020164,40.860355,
29412,KURUGÖL (KURUGÖL),1552,42.985485,40.797068,43.070185,40.871491,
29413,MERKEZ (BÜYÜKÇATAK),1552,42.983322,40.852968,43.005466,40.873351,
29414,MERKEZ (KIRKPINAR),1552,43.006963,40.846085,43.040798,40.884232,
29415,ORTALAR (ORTALAR),1552,43.001148,40.707441,43.056120,40.742749,
29416,PORSUKLU (PORSUKLU),1552,43.201571,40.768339,43.282504,40.831127,
29417,TAŞLICA (TAŞLICA),1552,43.025245,40.737756,43.073793,40.797117,
29418,TEPE (KAYALIK),1552,43.132867,40.787407,43.138576,40.790190,
29419,YAYLACIK (YAYLACIK),1552,43.115440,40.824108,43.181085,40.914572,
29420,YOLBOYU (YOLBOYU),1552,43.193666,40.706506,43.280645,40.777483,
29421,ALİ ONBAŞI (YEŞİLYUVA),1553,34.071439,41.975683,34.073034,41.977298,
29422,BADIMANA (YAKABAŞI),1553,34.080062,41.967175,34.090846,41.979197,
29423,BAĞLIK,1553,34.009055,41.962594,34.040805,41.976708,
29424,ÇAYIRCIK,1553,34.027710,41.959905,34.049951,41.976612,
29425,DELES (YEŞİLYUVA),1553,34.060442,41.971622,34.071758,41.975881,
29426,DENİZBÜKÜ (DENİZBÜKÜ),1553,34.092905,41.949474,34.117548,41.978523,
29427,HACIVELİ,1553,34.039307,41.972647,34.063846,41.981408,
29428,KİRENPINARI (DENİZBÜKÜ),1553,34.095907,41.966197,34.104878,41.979214,
29429,KOÇ (YAKABAŞI),1553,34.088441,41.968169,34.098929,41.979738,
29430,KONAK (GÖYNÜKLER),1553,34.064927,41.951139,34.074560,41.956997,
29431,KONAKÖREN,1553,33.980269,41.963039,34.008792,41.981151,
29432,MACAR (GÖYNÜKLER),1553,34.059589,41.952831,34.067487,41.964635,
29433,MERKEZ,1553,33.998660,41.968109,34.040372,41.981342,
